tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapas no especificadas se establece en 10000
tolerancia no especificada se establece en 0.0000























































































































































Se normaliza la columna:0
media: 5.84333 varianza: 0.6811

Se normaliza la columna:1
media: 3.05400 varianza: 0.1868

Se normaliza la columna:2
media: 3.75867 varianza: 3.0924

Se normaliza la columna:3
media: 1.19867 varianza: 0.5785

Retropropagacion
etapa 100 0.02656602 ecm:0.0084
etapa 200 0.00756039 ecm:0.0022
etapa 300 0.00450770 ecm:0.0013
etapa 400 0.00323014 ecm:0.0009
etapa 500 0.00251807 ecm:0.0006
etapa 600 0.00206270 ecm:0.0005
etapa 700 0.00174619 ecm:0.0004
etapa 800 0.00151340 ecm:0.0004
etapa 900 0.00133500 ecm:0.0003
etapa 1000 0.00119395 ecm:0.0003
etapa 1100 0.00107965 ecm:0.0002
etapa 1200 0.00098515 ecm:0.0002
etapa 1300 0.00090574 ecm:0.0002
etapa 1400 0.00083808 ecm:0.0002
etapa 1500 0.00077974 ecm:0.0002
etapa 1600 0.00072892 ecm:0.0002
etapa 1700 0.00068427 ecm:0.0001
etapa 1800 0.00064473 ecm:0.0001
etapa 1900 0.00060947 ecm:0.0001
etapa 2000 0.00057784 ecm:0.0001
etapa 2100 0.00054930 ecm:0.0001
etapa 2200 0.00052342 ecm:0.0001
etapa 2300 0.00049985 ecm:0.0001
etapa 2400 0.00047829 ecm:0.0001
etapa 2500 0.00045850 ecm:0.0001
etapa 2600 0.00044027 ecm:0.0001
etapa 2700 0.00042342 ecm:0.0001
etapa 2800 0.00040780 ecm:0.0001
etapa 2900 0.00039328 ecm:0.0001
etapa 3000 0.00037975 ecm:0.0001
etapa 3100 0.00036712 ecm:0.0001
etapa 3200 0.00035529 ecm:0.0001
etapa 3300 0.00034419 ecm:0.0001
etapa 3400 0.00033376 ecm:0.0001
etapa 3500 0.00032394 ecm:0.0001
etapa 3600 0.00031467 ecm:0.0001
etapa 3700 0.00030592 ecm:0.0001
etapa 3800 0.00029763 ecm:0.0001
etapa 3900 0.00028978 ecm:0.0001
etapa 4000 0.00028233 ecm:0.0001
etapa 4100 0.00027525 ecm:0.0001
etapa 4200 0.00026851 ecm:0.0001
etapa 4300 0.00026209 ecm:0.0001
etapa 4400 0.00025597 ecm:0.0000
etapa 4500 0.00025012 ecm:0.0000
etapa 4600 0.00024454 ecm:0.0000
etapa 4700 0.00023920 ecm:0.0000
etapa 4800 0.00023408 ecm:0.0000
etapa 4900 0.00022918 ecm:0.0000
etapa 5000 0.00022447 ecm:0.0000
etapa 5100 0.00021995 ecm:0.0000
etapa 5200 0.00021561 ecm:0.0000
etapa 5300 0.00021144 ecm:0.0000
etapa 5400 0.00020742 ecm:0.0000
etapa 5500 0.00020356 ecm:0.0000
etapa 5600 0.00019983 ecm:0.0000
etapa 5700 0.00019623 ecm:0.0000
etapa 5800 0.00019277 ecm:0.0000
etapa 5900 0.00018942 ecm:0.0000
etapa 6000 0.00018618 ecm:0.0000
etapa 6100 0.00018305 ecm:0.0000
etapa 6200 0.00018003 ecm:0.0000
etapa 6300 0.00017710 ecm:0.0000
etapa 6400 0.00017427 ecm:0.0000
etapa 6500 0.00017152 ecm:0.0000
etapa 6600 0.00016886 ecm:0.0000
etapa 6700 0.00016628 ecm:0.0000
etapa 6800 0.00016378 ecm:0.0000
etapa 6900 0.00016135 ecm:0.0000
etapa 7000 0.00015899 ecm:0.0000
etapa 7100 0.00015670 ecm:0.0000
etapa 7200 0.00015447 ecm:0.0000
etapa 7300 0.00015230 ecm:0.0000
etapa 7400 0.00015020 ecm:0.0000
etapa 7500 0.00014815 ecm:0.0000
etapa 7600 0.00014615 ecm:0.0000
etapa 7700 0.00014421 ecm:0.0000
etapa 7800 0.00014232 ecm:0.0000
etapa 7900 0.00014048 ecm:0.0000
etapa 8000 0.00013868 ecm:0.0000
etapa 8100 0.00013693 ecm:0.0000
etapa 8200 0.00013523 ecm:0.0000
etapa 8300 0.00013356 ecm:0.0000
etapa 8400 0.00013193 ecm:0.0000
etapa 8500 0.00013035 ecm:0.0000
etapa 8600 0.00012880 ecm:0.0000
etapa 8700 0.00012729 ecm:0.0000
etapa 8800 0.00012581 ecm:0.0000
etapa 8900 0.00012436 ecm:0.0000
etapa 9000 0.00012295 ecm:0.0000
etapa 9100 0.00012157 ecm:0.0000
etapa 9200 0.00012022 ecm:0.0000
etapa 9300 0.00011890 ecm:0.0000
etapa 9400 0.00011761 ecm:0.0000
etapa 9500 0.00011634 ecm:0.0000
etapa 9600 0.00011510 ecm:0.0000
etapa 9700 0.00011389 ecm:0.0000
etapa 9800 0.00011271 ecm:0.0000
etapa 9900 0.00011154 ecm:0.0000
etapa 10000 0.00011040 ecm:0.0000
etapa 10100 0.00010929 ecm:0.0000
etapa 10200 0.00010819 ecm:0.0000
etapa 10300 0.00010712 ecm:0.0000
etapa 10400 0.00010607 ecm:0.0000
etapa 10500 0.00010504 ecm:0.0000
etapa 10600 0.00010403 ecm:0.0000
etapa 10700 0.00010304 ecm:0.0000
etapa 10800 0.00010206 ecm:0.0000
etapa 10900 0.00010111 ecm:0.0000
etapa 11000 0.00010017 ecm:0.0000
etapa 11100 0.00009925 ecm:0.0000
etapa 11200 0.00009834 ecm:0.0000
etapa 11300 0.00009746 ecm:0.0000
etapa 11400 0.00009658 ecm:0.0000
etapa 11500 0.00009573 ecm:0.0000
etapa 11600 0.00009488 ecm:0.0000
etapa 11700 0.00009406 ecm:0.0000
etapa 11800 0.00009324 ecm:0.0000
etapa 11900 0.00009244 ecm:0.0000
etapa 12000 0.00009166 ecm:0.0000
etapa 12100 0.00009089 ecm:0.0000
etapa 12200 0.00009013 ecm:0.0000
etapa 12300 0.00008938 ecm:0.0000
etapa 12400 0.00008864 ecm:0.0000
etapa 12500 0.00008792 ecm:0.0000
etapa 12600 0.00008721 ecm:0.0000
etapa 12700 0.00008651 ecm:0.0000
etapa 12800 0.00008582 ecm:0.0000
etapa 12900 0.00008514 ecm:0.0000
etapa 13000 0.00008447 ecm:0.0000
etapa 13100 0.00008382 ecm:0.0000
etapa 13200 0.00008317 ecm:0.0000
etapa 13300 0.00008253 ecm:0.0000
etapa 13400 0.00008190 ecm:0.0000
etapa 13500 0.00008129 ecm:0.0000
etapa 13600 0.00008068 ecm:0.0000
etapa 13700 0.00008008 ecm:0.0000
etapa 13800 0.00007949 ecm:0.0000
